67,0.169,0.183,0.198,4099,-2.3,2.3
68,0.163,0.177,0.192,4099,-2.3,2.3
69,0.157,0.171,0.185,4099,-2.4,2.4
70,0.151,0.165,0.179,4099,-2.4,2.4
71,0.146,0.159,0.173,4099,-2.5,2.5
72,0.141,0.154,0.168,4099,-2.5,2.5
73,0.136,0.149,0.162,4099,-2.5,2.6
74,0.131,0.144,0.157,4100,-2.6,2.6
75,0.127,0.139,0.152,4100,-2.6,2.6
76,0.123,0.134,0.147,4100,-2.7,2.7
77,0.118,0.13,0.142,4100,-2.7,2.7
78,0.114,0.126,0.138,4100,-2.8,2.8
79,0.111,0.121,0.133,4100,-2.8,2.8
80,0.107,0.117,0.129,4100,-2.9,2.9
81,0.103,0.114,0.125,4100,-2.9,2.9
82,0.1,0.11,0.121,4100,-2.9,3
83,0.097,0.107,0.117,4100,-3,3
84,0.093,0.103,0.114,4100,-3,3.1
85,0.09,0.1,0.11,4100,-3.1,3.1
86,0.087,0.097,0.107,4100,-3.1,3.2
87,0.085,0.094,0.104,4100,-3.2,3.2
88,0.082,0.091,0.101,4100,-3.2,3.3
89,0.079,0.088,0.098,4100,-3.3,3.3
90,0.077,0.085,0.095,4100,-3.3,3.4
91,0.074,0.083,0.092,4100,-3.4,3.4
92,0.072,0.08,0.089,4100,-3.4,3.5
93,0.07,0.078,0.086,4100,-3.5,3.5
94,0.068,0.075,0.084,4100,-3.5,3.6
95,0.066,0.073,0.082,4100,-3.6,3.6
96,0.064,0.071,0.079,4100,-3.6,3.7
97,0.062,0.069,0.077,4100,-3.7,3.7
98,0.06,0.067,0.075,4100,-3.7,3.8
99,0.058,0.065,0.073,4100,-3.8,3.8
100,0.056,0.063,0.071,4100,-3.8,3.9
101,0.055,0.061,0.069,4100,-3.9,3.9
102,0.053,0.059,0.067,4100,-3.9,4
103,0.051,0.058,0.065,4100,-4,4
104,0.05,0.056,0.063,4100,-4,4.1
105,0.048,0.055,0.061,4100,-4.1,4.1
106,0.047,0.053,0.06,4100,-4.1,4.2
107,0.046,0.051,0.058,4100,-4.2,4.2
108,0.044,0.05,0.056,4100,-4.2,4.3
109,0.043,0.049,0.055,4100,-4.3,4.3
110,0.042,0.047,0.053,4100,-4.3,4.4
111,0.041,0.046,0.052,4100,-4.4,4.4
112,0.04,0.045,0.051,4100,-4.4,4.5
113,0.038,0.044,0.049,4100,-4.5,4.5
114,0.037,0.042,0.048,4100,-4.5,4.6
115,0.036,0.041,0.047,4101,-4.6,4.7
116,0.035,0.04,0.045,4101,-4.6,4.7
117,0.034,0.039,0.044,4101,-4.7,4.8
118,0.033,0.038,0.043,4101,-4.7,4.8
119,0.033,0.037,0.042,4101,-4.8,4.9
120,0.032,0.036,0.041,4101,-4.8,4.9
121,0.031,0.035,0.04,4101,-4.9,5
122,0.03,0.034,0.039,4101,-5,5
123,0.029,0.033,0.038,4101,-5,5.1
124,0.028,0.032,0.037,4101,-5.1,5.2
125,0.028,0.032,0.036,4101,-5.1,5.2
