67,2.282,2.436,2.594,3410,-2.2,2.1
68,2.214,2.364,2.518,3411,-2.2,2.2
69,2.148,2.295,2.445,3413,-2.2,2.2
70,2.085,2.227,2.374,3414,-2.3,2.2
71,2.023,2.163,2.306,3416,-2.3,2.2
72,1.964,2.1,2.239,3417,-2.3,2.3
73,1.907,2.039,2.176,3419,-2.3,2.3
74,1.851,1.981,2.114,3420,-2.4,2.3
75,1.798,1.924,2.054,3422,-2.4,2.3
76,1.746,1.869,1.996,3423,-2.4,2.4
77,1.697,1.817,1.94,3424,-2.4,2.4
78,1.648,1.765,1.886,3426,-2.5,2.4
79,1.602,1.716,1.834,3427,-2.5,2.4
80,1.557,1.668,1.783,3428,-2.5,2.4
81,1.513,1.622,1.734,3430,-2.5,2.5
82,1.471,1.577,1.687,3431,-2.5,2.5
83,1.43,1.534,1.641,3432,-2.6,2.5
84,1.391,1.492,1.597,3434,-2.6,2.5
85,1.352,1.451,1.554,3435,-2.6,2.6
86,1.315,1.412,1.512,3436,-2.6,2.6
87,1.28,1.374,1.472,3437,-2.7,2.6
88,1.245,1.337,1.433,3439,-2.7,2.6
89,1.212,1.302,1.395,3440,-2.7,2.7
90,1.179,1.267,1.358,3441,-2.7,2.7
91,1.148,1.234,1.323,3442,-2.8,2.7
92,1.117,1.201,1.288,3444,-2.8,2.7
93,1.088,1.17,1.255,3445,-2.8,2.8
94,1.059,1.139,1.223,3446,-2.8,2.8
95,1.031,1.11,1.191,3447,-2.9,2.8
96,1.005,1.081,1.161,3448,-2.9,2.8
97,0.979,1.054,1.131,3449,-2.9,2.9
98,0.953,1.027,1.103,3451,-2.9,2.9
99,0.929,1.001,1.075,3452,-3,2.9
100,0.905,0.975,1.048,3453,-3,2.9
101,0.882,0.951,1.022,3454,-3,3
102,0.86,0.927,0.997,3455,-3,3
103,0.838,0.904,0.972,3456,-3.1,3
104,0.817,0.881,0.948,3457,-3.1,3
105,0.797,0.86,0.925,3458,-3.1,3.1
106,0.777,0.838,0.903,3459,-3.1,3.1
107,0.758,0.818,0.881,3460,-3.2,3.1
108,0.739,0.798,0.859,3461,-3.2,3.1
109,0.721,0.779,0.839,3462,-3.2,3.2
110,0.704,0.76,0.819,3463,-3.2,3.2
111,0.687,0.742,0.799,3464,-3.3,3.2
112,0.67,0.724,0.78,3465,-3.3,3.2
113,0.654,0.707,0.762,3466,-3.3,3.3
114,0.638,0.69,0.744,3467,-3.3,3.3
115,0.623,0.674,0.727,3468,-3.4,3.3
116,0.608,0.658,0.71,3469,-3.4,3.3
117,0.594,0.643,0.694,3470,-3.4,3.4
118,0.58,0.628,0.678,3471,-3.5,3.4
119,0.567,0.613,0.662,3472,-3.5,3.4
120,0.553,0.599,0.647,3473,-3.5,3.5
121,0.541,0.585,0.632,3474,-3.5,3.5
122,0.528,0.572,0.618,3475,-3.6,3.5
123,0.516,0.559,0.604,3476,-3.6,3.5
124,0.504,0.546,0.591,3477,-3.6,3.6
125,0.493,0.534,0.578,3478,-3.6,3.6
