* RegName			Page			Addr			Defval			Value
*--------------------------------------------------------------------------------
*  Periphery register map
*--------------------------------------------------------------------------------
AC_ReadCounterLSB_S89			0x0			0x5d8			0x0			0x0
AC_ReadCounterLSB_S90			0x0			0x5d9			0x0			0x0
AC_ReadCounterLSB_S91			0x0			0x5da			0x0			0x0
AC_ReadCounterLSB_S92			0x0			0x5db			0x0			0x0
AC_ReadCounterLSB_S93			0x0			0x5dc			0x0			0x0
AC_ReadCounterLSB_S94			0x0			0x5dd			0x0			0x0
AC_ReadCounterLSB_S95			0x0			0x5de			0x0			0x0
AC_ReadCounterLSB_S96			0x0			0x5df			0x0			0x0
AC_ReadCounterLSB_S97			0x0			0x5e0			0x0			0x0
AC_ReadCounterLSB_S98			0x0			0x5e1			0x0			0x0
AC_ReadCounterLSB_S99			0x0			0x5e2			0x0			0x0
AC_ReadCounterLSB_S100			0x0			0x5e3			0x0			0x0
AC_ReadCounterLSB_S101			0x0			0x5e4			0x0			0x0
AC_ReadCounterLSB_S102			0x0			0x5e5			0x0			0x0
AC_ReadCounterLSB_S103			0x0			0x5e6			0x0			0x0
AC_ReadCounterLSB_S104			0x0			0x5e7			0x0			0x0
AC_ReadCounterLSB_S105			0x0			0x5e8			0x0			0x0
AC_ReadCounterLSB_S106			0x0			0x5e9			0x0			0x0
AC_ReadCounterLSB_S107			0x0			0x5ea			0x0			0x0
AC_ReadCounterLSB_S108			0x0			0x5eb			0x0			0x0
AC_ReadCounterLSB_S109			0x0			0x5ec			0x0			0x0
AC_ReadCounterLSB_S110			0x0			0x5ed			0x0			0x0
AC_ReadCounterLSB_S111			0x0			0x5ee			0x0			0x0
AC_ReadCounterLSB_S112			0x0			0x5ef			0x0			0x0
AC_ReadCounterLSB_S113			0x0			0x5f0			0x0			0x0
AC_ReadCounterLSB_S114			0x0			0x5f1			0x0			0x0
AC_ReadCounterLSB_S115			0x0			0x5f2			0x0			0x0
AC_ReadCounterLSB_S116			0x0			0x5f3			0x0			0x0
AC_ReadCounterLSB_S117			0x0			0x5f4			0x0			0x0
AC_ReadCounterLSB_S118			0x0			0x5f5			0x0			0x0
AC_ReadCounterLSB_S119			0x0			0x5f6			0x0			0x0
AC_ReadCounterLSB_S120			0x0			0x5f7			0x0			0x0
THTRIMMING_S1			0x0			0x200			0xf			0xf
THTRIMMING_S2			0x0			0x201			0xf			0xf
THTRIMMING_S3			0x0			0x202			0xf			0xf
THTRIMMING_S4			0x0			0x203			0xf			0xf
THTRIMMING_S5			0x0			0x204			0xf			0xf
THTRIMMING_S6			0x0			0x205			0xf			0xf
THTRIMMING_S7			0x0			0x206			0xf			0xf
THTRIMMING_S8			0x0			0x207			0xf			0xf
THTRIMMING_S9			0x0			0x208			0xf			0xf
THTRIMMING_S10			0x0			0x209			0xf			0xf
THTRIMMING_S11			0x0			0x20a			0xf			0xf
THTRIMMING_S12			0x0			0x20b			0xf			0xf
THTRIMMING_S13			0x0			0x20c			0xf			0xf
THTRIMMING_S14			0x0			0x20d			0xf			0xf
THTRIMMING_S15			0x0			0x20e			0xf			0xf
THTRIMMING_S16			0x0			0x20f			0xf			0xf
THTRIMMING_S17			0x0			0x210			0xf			0xf
THTRIMMING_S18			0x0			0x211			0xf			0xf
THTRIMMING_S19			0x0			0x212			0xf			0xf
THTRIMMING_S20			0x0			0x213			0xf			0xf
THTRIMMING_S21			0x0			0x214			0xf			0xf
THTRIMMING_S22			0x0			0x215			0xf			0xf
THTRIMMING_S23			0x0			0x216			0xf			0xf
THTRIMMING_S24			0x0			0x217			0xf			0xf
THTRIMMING_S25			0x0			0x218			0xf			0xf
THTRIMMING_S26			0x0			0x219			0xf			0xf
THTRIMMING_S27			0x0			0x21a			0xf			0xf
THTRIMMING_S28			0x0			0x21b			0xf			0xf
THTRIMMING_S29			0x0			0x21c			0xf			0xf
THTRIMMING_S30			0x0			0x21d			0xf			0xf
THTRIMMING_S31			0x0			0x21e			0xf			0xf
THTRIMMING_S32			0x0			0x21f			0xf			0xf
THTRIMMING_S33			0x0			0x220			0xf			0xf
THTRIMMING_S34			0x0			0x221			0xf			0xf
THTRIMMING_S35			0x0			0x222			0xf			0xf
THTRIMMING_S36			0x0			0x223			0xf			0xf
THTRIMMING_S37			0x0			0x224			0xf			0xf
THTRIMMING_S38			0x0			0x225			0xf			0xf
THTRIMMING_S39			0x0			0x226			0xf			0xf
THTRIMMING_S40			0x0			0x227			0xf			0xf
THTRIMMING_S41			0x0			0x228			0xf			0xf
THTRIMMING_S42			0x0			0x229			0xf			0xf
THTRIMMING_S43			0x0			0x22a			0xf			0xf
THTRIMMING_S44			0x0			0x22b			0xf			0xf
THTRIMMING_S45			0x0			0x22c			0xf			0xf
THTRIMMING_S46			0x0			0x22d			0xf			0xf
THTRIMMING_S47			0x0			0x22e			0xf			0xf
THTRIMMING_S48			0x0			0x22f			0xf			0xf
THTRIMMING_S49			0x0			0x230			0xf			0xf
THTRIMMING_S50			0x0			0x231			0xf			0xf
THTRIMMING_S51			0x0			0x232			0xf			0xf
THTRIMMING_S52			0x0			0x233			0xf			0xf
THTRIMMING_S53			0x0			0x234			0xf			0xf
THTRIMMING_S54			0x0			0x235			0xf			0xf
THTRIMMING_S55			0x0			0x236			0xf			0xf
THTRIMMING_S56			0x0			0x237			0xf			0xf
THTRIMMING_S57			0x0			0x238			0xf			0xf
THTRIMMING_S58			0x0			0x239			0xf			0xf
THTRIMMING_S59			0x0			0x23a			0xf			0xf
THTRIMMING_S60			0x0			0x23b			0xf			0xf
THTRIMMING_S61			0x0			0x23c			0xf			0xf
THTRIMMING_S62			0x0			0x23d			0xf			0xf
THTRIMMING_S63			0x0			0x23e			0xf			0xf
THTRIMMING_S64			0x0			0x23f			0xf			0xf
THTRIMMING_S65			0x0			0x240			0xf			0xf
THTRIMMING_S66			0x0			0x241			0xf			0xf
THTRIMMING_S67			0x0			0x242			0xf			0xf
THTRIMMING_S68			0x0			0x243			0xf			0xf
THTRIMMING_S69			0x0			0x244			0xf			0xf
THTRIMMING_S70			0x0			0x245			0xf			0xf
THTRIMMING_S71			0x0			0x246			0xf			0xf
THTRIMMING_S72			0x0			0x247			0xf			0xf
THTRIMMING_S73			0x0			0x248			0xf			0xf
THTRIMMING_S74			0x0			0x249			0xf			0xf
THTRIMMING_S75			0x0			0x24a			0xf			0xf
THTRIMMING_S76			0x0			0x24b			0xf			0xf
THTRIMMING_S77			0x0			0x24c			0xf			0xf
THTRIMMING_S78			0x0			0x24d			0xf			0xf
THTRIMMING_S79			0x0			0x24e			0xf			0xf
THTRIMMING_S80			0x0			0x24f			0xf			0xf
THTRIMMING_S81			0x0			0x250			0xf			0xf
THTRIMMING_S82			0x0			0x251			0xf			0xf
THTRIMMING_S83			0x0			0x252			0xf			0xf
THTRIMMING_S84			0x0			0x253			0xf			0xf
THTRIMMING_S85			0x0			0x254			0xf			0xf
THTRIMMING_S86			0x0			0x255			0xf			0xf
THTRIMMING_S87			0x0			0x256			0xf			0xf
THTRIMMING_S88			0x0			0x257			0xf			0xf
THTRIMMING_S89			0x0			0x258			0xf			0xf
THTRIMMING_S90			0x0			0x259			0xf			0xf
THTRIMMING_S91			0x0			0x25a			0xf			0xf
THTRIMMING_S92			0x0			0x25b			0xf			0xf
THTRIMMING_S93			0x0			0x25c			0xf			0xf
THTRIMMING_S94			0x0			0x25d			0xf			0xf
THTRIMMING_S95			0x0			0x25e			0xf			0xf
THTRIMMING_S96			0x0			0x25f			0xf			0xf
THTRIMMING_S97			0x0			0x260			0xf			0xf
THTRIMMING_S98			0x0			0x261			0xf			0xf
THTRIMMING_S99			0x0			0x262			0xf			0xf
THTRIMMING_S100			0x0			0x263			0xf			0xf
THTRIMMING_S101			0x0			0x264			0xf			0xf
THTRIMMING_S102			0x0			0x265			0xf			0xf
THTRIMMING_S103			0x0			0x266			0xf			0xf
THTRIMMING_S104			0x0			0x267			0xf			0xf
THTRIMMING_S105			0x0			0x268			0xf			0xf
THTRIMMING_S106			0x0			0x269			0xf			0xf
THTRIMMING_S107			0x0			0x26a			0xf			0xf
THTRIMMING_S108			0x0			0x26b			0xf			0xf
THTRIMMING_S109			0x0			0x26c			0xf			0xf
THTRIMMING_S110			0x0			0x26d			0xf			0xf
THTRIMMING_S111			0x0			0x26e			0xf			0xf
THTRIMMING_S112			0x0			0x26f			0xf			0xf
THTRIMMING_S113			0x0			0x270			0xf			0xf
THTRIMMING_S114			0x0			0x271			0xf			0xf
THTRIMMING_S115			0x0			0x272			0xf			0xf
THTRIMMING_S116			0x0			0x273			0xf			0xf
THTRIMMING_S117			0x0			0x274			0xf			0xf
THTRIMMING_S118			0x0			0x275			0xf			0xf
THTRIMMING_S119			0x0			0x276			0xf			0xf
THTRIMMING_S120			0x0			0x277			0xf			0xf
AC_ReadCounterMSB_S1			0x0			0x680			0x0			0x0
AC_ReadCounterMSB_S2			0x0			0x681			0x0			0x0
AC_ReadCounterMSB_S3			0x0			0x682			0x0			0x0
AC_ReadCounterMSB_S4			0x0			0x683			0x0			0x0
AC_ReadCounterMSB_S5			0x0			0x684			0x0			0x0
AC_ReadCounterMSB_S6			0x0			0x685			0x0			0x0
AC_ReadCounterMSB_S7			0x0			0x686			0x0			0x0
AC_ReadCounterMSB_S8			0x0			0x687			0x0			0x0
AC_ReadCounterMSB_S9			0x0			0x688			0x0			0x0
AC_ReadCounterMSB_S10			0x0			0x689			0x0			0x0
AC_ReadCounterMSB_S11			0x0			0x68a			0x0			0x0
AC_ReadCounterMSB_S12			0x0			0x68b			0x0			0x0
AC_ReadCounterMSB_S13			0x0			0x68c			0x0			0x0
AC_ReadCounterMSB_S14			0x0			0x68d			0x0			0x0
AC_ReadCounterMSB_S15			0x0			0x68e			0x0			0x0
AC_ReadCounterMSB_S16			0x0			0x68f			0x0			0x0
AC_ReadCounterMSB_S17			0x0			0x690			0x0			0x0
AC_ReadCounterMSB_S18			0x0			0x691			0x0			0x0
AC_ReadCounterMSB_S19			0x0			0x692			0x0			0x0
AC_ReadCounterMSB_S20			0x0			0x693			0x0			0x0
AC_ReadCounterMSB_S21			0x0			0x694			0x0			0x0
AC_ReadCounterMSB_S22			0x0			0x695			0x0			0x0
AC_ReadCounterMSB_S23			0x0			0x696			0x0			0x0
AC_ReadCounterMSB_S24			0x0			0x697			0x0			0x0
AC_ReadCounterMSB_S25			0x0			0x698			0x0			0x0
AC_ReadCounterMSB_S26			0x0			0x699			0x0			0x0
AC_ReadCounterMSB_S27			0x0			0x69a			0x0			0x0
AC_ReadCounterMSB_S28			0x0			0x69b			0x0			0x0
AC_ReadCounterMSB_S29			0x0			0x69c			0x0			0x0
AC_ReadCounterMSB_S30			0x0			0x69d			0x0			0x0
AC_ReadCounterMSB_S31			0x0			0x69e			0x0			0x0
AC_ReadCounterMSB_S32			0x0			0x69f			0x0			0x0
AC_ReadCounterMSB_S33			0x0			0x6a0			0x0			0x0
AC_ReadCounterMSB_S34			0x0			0x6a1			0x0			0x0
AC_ReadCounterMSB_S35			0x0			0x6a2			0x0			0x0
AC_ReadCounterMSB_S36			0x0			0x6a3			0x0			0x0
AC_ReadCounterMSB_S37			0x0			0x6a4			0x0			0x0
AC_ReadCounterMSB_S38			0x0			0x6a5			0x0			0x0
AC_ReadCounterMSB_S39			0x0			0x6a6			0x0			0x0
AC_ReadCounterMSB_S40			0x0			0x6a7			0x0			0x0
AC_ReadCounterMSB_S41			0x0			0x6a8			0x0			0x0
AC_ReadCounterMSB_S42			0x0			0x6a9			0x0			0x0
